관광지명,관광지구분,소재지도로명주소,위도,경도,관리기관전화번호,관리기관명,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,주차가능수,category
바람의언덕,관광지,,34.74401583,128.6632699,055-639-4183,경상남도 거제시청,화장실,정보없음,정보없음,정보없음,정보없음,정보없음,150,기타
우제봉전망대,관광지,,34.73218035,128.6738928,055-639-4793,경상남도 거제시청,없음,정보없음,정보없음,정보없음,정보없음,정보없음,200,야경/전망대
청마기념관,관광지,경상남도 거제시 둔덕면 방하2길 6,34.854887,128.517123,055-635-8340,경상남도 거제시 거제해양관광개발공사,화장실,정보없음,정보없음,전시실,안내소,정보없음,20,문화
씨월드,관광지,경상남도 거제시 일운면 지세포해안로 15,34.835848,128.701478,055-682-0330,거제씨월드,화장실,정보없음,정보없음,전시실+돌고래체험,안내소,정보없음,30,테마파크/놀이공원
알로에테마파크,관광지,경상남도 거제시 거제면 거제남서로 3937,34.835716,128.560282,055-632-9907,알로에테마파크,화장실,정보없음,정보없음,전시실,안내소,정보없음,30,테마파크/놀이공원
노을이물드는언덕,관광지,,34.95450963,128.5194543,055-639-4183,경상남도 거제시청,화장실,정보없음,정보없음,전망대,정보없음,정보없음,10,기타
가조수협효시공원,관광지,경상남도 거제시 사등면 가조서로 7,34.929516,128.525144,055-639-8341,경상남도 거제시 거제해양관광개발공사,화장실,정보없음,정보없음,전시실,안내소,정보없음,20,산책/휴식
담양호국민관광지,관광지,,35.4019831,126.9990829,061-380-2793,전라남도 담양군 관광과(담양호권관광지관리팀),관리사무소+공중화장실+전망대+정수장+주차장+도로,국민숙사(해피랜드호텔)+펜션(오쑈),운동시설지구,조경 및 휴게시설+용마루길+추월산 등산로,목포맛집+수정횟집+초원의집,가마골생태공원+JK통나무펜션단지(비호재지구),500,기타
부석사관광지,관광지,경상북도 영주시 부석면 부석사로 298,36.99435088,128.6797054,054-639-6617,경상북도 영주시청,관광안내소+광장+화장실+보행자도로 등,정보없음,정보없음,피크닉마당+부석사 이야기길+의상대사 스토리원 등,상가 등,정보없음,540,기타
"목포근대역사관 1관 (구, 일본영사관)",관광지,전라남도 목포시 영산로 29번길 6,34.78769578,126.3817942,061-242-0340,전라남도 목포시청,화장실,정보없음,방공호체험+XR체험존,박물관,정보없음,정보없음,0,철도/교통 체험
"목포근대역사관 2관 (구,동양척식주식회사)",관광지,전라남도 목포시 번화로 18,34.78596374,126.3814912,061-270-8728,전라남도 목포시청,화장실+주차장+여행자쉼터,정보없음,정보없음,박물관,정보없음,정보없음,30,철도/교통 체험
성옥기념관,관광지,전라남도 목포시 영산로 11,34.78698576,126.3798645,061-244-2527,전라남도 목포시청,화장실+주차장+라운지,정보없음,정보없음,정보없음,정보없음,정보없음,10,문화
구 동본원사 목포별원,관광지,전라남도 목포시 영산로 75번길 5,34.78970032,126.3842863,061-245-8832,전라남도 목포시청,주차장,정보없음,정보없음,정보없음,정보없음,정보없음,45,기타
유달산,관광지,전라남도 목포시 유달로 180,34.79142993,126.3759183,061-270-8359,전라남도 목포시청,화장실+주차장+관광안내소,정보없음,정보없음,특정자생식물원+봉후샘쉼터+옛수원지 암벽폭포+조각공원,매점,정보없음,2000,자연
요트올림픽동산지구,관광지,부산광역시 해운대구 APEC로 30,35.16578256,129.1350266,051-749-4081,부산광역시 해운대구청,관리사무소 1동+공중화장실 3동+도로포장+원형분수 1개소+연못 1개소+파고라 1동+기념동산 1개소+녹지 1개소,정보없음,놀이광장 1개소+잔디광장 1개소+산책로  1개소+놀이마당 1개소+어린이놀이터 1개소+수영장 1동,식물원 1개소+야외전시장,정보없음,정보없음,398,자연
동백섬,관광지,부산광역시 해운대구 동백로 116,35.15234205,129.1513619,051-749-4081,부산광역시 해운대구청,공중화장실 2동+도로+전망대 1개소+수목+잔디 1개소,관광호텔 1동,정보없음,관광유람선 1개소,정보없음,정보없음,101,기타
몰운대,관광지,부산광역시 사하구 몰운대1길 14(다대동),35.04638172,128.9680068,051-220-4082,부산광역시 사하구,화장실,정보없음,정보없음,다대포객사,정보없음,정보없음,150,기타
다대포 꿈의 낙조분수,관광지,부산광역시 사하구 몰운대1길 14(다대동),35.04638172,128.9680068,051-220-5891,부산광역시 사하구,화장실,정보없음,정보없음,물놀이 체험분수+야간 음악분수 운영,정보없음,정보없음,500,기타
다대포해수욕장,관광지,부산광역시 사하구 몰운대1길 14(다대동),35.04638172,128.9680068,051-220-4161,부산광역시 사하구,화장실,정보없음,갯벌체험+패들보드+서핑보드 (※ 해양스포츠 체험 가능),부산바다축제 등 다양한 문화공연 등,정보없음,정보없음,1500,계절별 명소
낙동강하구아미산전망대,관광지,부산광역시 사하구 다대낙조2길 77(다대동),35.05276243,128.9607468,051-265-6863,낙동강하구 에코센터,화장실,정보없음,정보없음,정보없음,정보없음,정보없음,100,자연
을숙도 생태공원,관광지,부산광역시 사하구 낙동남로1233번길 25(하단동),35.11008837,128.9449571,051-209-2000,낙동강하구 에코센터,화장실,정보없음,정보없음,정보없음,정보없음,정보없음,600,자연
을숙도 철새공원,관광지,부산광역시 사하구 낙동남로 1240(하단동),35.10449092,128.9459791,051-209-2000,낙동강하구 에코센터,화장실,정보없음,정보없음,생태체험프로그램 운영,정보없음,정보없음,300,산책/휴식
감천문화마을,관광지,부산광역시 사하구 감내2로 203(감천동),35.09748815,129.0106077,051-220-5922,부산광역시 사하구,화장실,방가방가게스트하우스 등,정보없음,도자기+목공예 (※ 각종 체험프로그램 운영),감천문화마을 안내센터,정보없음,200,전통
장림포구,관광지,부산광역시 사하구 장림로 93번길 72(장림동),35.07915955,128.9513486,051-220-4502,부산광역시 사하구,화장실,정보없음,놀이촌,문화촌,맛술촌,해양보호구역 홍보관,100,기타
쌍암공원,관광지,광주광역시 광산구 첨단중앙로182번길 39,35.22222807,126.8442514,062-960-8702,광주광역시 광산구청,주차장(2)+화장실(3),정보없음,정보없음,정보없음,정보없음,정보없음,194,산책/휴식
수완호수공원,관광지,광주광역시 광산구 장신로82번길 57,35.18794733,126.8202489,062-960-8677,광주광역시 광산구청,화장실(2),정보없음,정보없음,정보없음,정보없음,정보없음,0,산책/휴식
송정작은미술관,관광지,광주광역시 광산구 송정로30번길 25,35.13510527,126.7933629,062-960-3688,광주광역시 광산구청,화장실,정보없음,정보없음,정보없음,정보없음,정보없음,3,문화
소촌아트팩토리,관광지,광주광역시 광산구 소촌로85번길 14-9,35.15262857,126.7912355,062-960-3688,광주광역시 광산구청,화장실+주차장,정보없음,정보없음,정보없음,정보없음,정보없음,23,기타
별밤미술관 in 첨단,관광지,광주광역시 광산구 첨단중앙로182번길 39,35.22222807,126.8442514,062-960-3689,광주광역시 광산구청,없음,정보없음,정보없음,정보없음,정보없음,정보없음,0,문화
별밤미술관 in 수완,관광지,광주광역시 광산구 풍영정천자전거길 1030,35.18597183,126.819001,062-960-3689,광주광역시 광산구청,없음,정보없음,정보없음,정보없음,정보없음,정보없음,0,문화
별밤미술관 in 운남,관광지,광주광역시 광산구 목련로 156,35.17144137,126.8159402,062-960-3689,광주광역시 광산구청,없음,정보없음,정보없음,정보없음,정보없음,정보없음,0,문화
별밤미술관 in 신창,관광지,광주광역시 광산구 왕버들로 331,35.19467258,126.8452966,062-960-3689,광주광역시 광산구청,없음,정보없음,정보없음,정보없음,정보없음,정보없음,0,문화
별밤미술관 in 선운,관광지,광주광역시 광산구 선운로2번길 40,35.14604759,126.7732908,062-960-3689,광주광역시 광산구청,없음,정보없음,정보없음,정보없음,정보없음,정보없음,0,문화
순천향매실마을,관광지,전라남도 순천시 월등면 계월길 138,35.0622232,127.4045173,061-754-2337,전라남도 순천시청 월등면,체험관 1+ 숙박동 1+ 휴게시설 1+ 화장실 1,숙박시설 1동,해당없음,해당없음,휴게시설,해당없음,42,전통
순천생태마을,관광지,전라남도 순천시 승주읍 고산도목길 9,35.06648711,127.3602718,061-755-0141,전라남도 순천시청 승주읍,화장실+ 안내소+ 생태체험관+ 주차장,생태체험관,없음,생태체험관,없음,없음,6,전통
거차뻘배체험마을,관광지,전라남도 순천시 별량면 거차길 130,34.8375993,127.4474457,061-742-8837,전라남도 순천시청 별량면,화장실+ 샤워장+ 뻘배체험장,민박3개,정보없음,캠핑장,정보없음,매점,50,전통
낙안민속자연휴양림,관광지,전라남도 순천시 낙안면 민속마을길 1600,34.91226789,127.3523884,061-754-4400,전라남도 순천시청 낙안면,화장실+ 취사장+ 샤워장+ 민속놀이체험장+ 숲체험교실,객실 15개+ 야영장 17개,정보없음,정보없음,정보없음,정보없음,50,자연
대성관광지,관광지,경기도 가평군 청평면 대성강변길 14,37.681431,127.379521,031-580-2518,경기도 가평군청 관광과,공중화장실(2동)+운영(1동),4동 운영+4동 계획,유원시설 등 계획,선착장 3개 운영+야영장 등 계획,매점+식당 등 4개소 운영+상가 5개소 계획,없음,25,기타
산장관광지,관광지,경기도 가평군 상면 덕현산장길 71 산장관광지,37.754183,127.410629,031-580-2518,경기도 가평군청 관광과,도로+주차장+관리사무소+홍수위관리소,가족호텔 1개소+펜션하우스 3개소 운영+콘도미니엄 2개소 계획,다목적운동장 계획중,야영장 및 야영공연장 등 운영,음식점 및 상가 2동 운영+3동 계획,없음,156,자연
무극전적국민관광지,관광지,충청북도 음성군 음성읍 생음대로 594,36.95063812,127.6470132,043-871-3114,충청북도 음성군청,감우재전승기념관+화장실+주차장,정보없음,정보없음,정보없음,정보없음,정보없음,15,기타
금강하구둑관광지,관광지,충청남도 서천군 마서면 장산로 855번길 56-2,36.01993599,126.736726,041-950-4018,충청남도 서천군청,종합안내소+주차장+화장실,정보없음,정보없음,정보없음,정보없음,정보없음,486,기타
통영루지,관광지,경상남도 통영시 발개로 178,34.82440908,128.4241617,055-650-0621,경상남도 통영시청,화장실,정보없음,정보없음,정보없음,정보없음,정보없음,350,기타
포로수용소유적공원,관광지,경상남도 거제시 계룡로 61,34.87637998,128.625371,055-639-0625,경상남도 거제시 거제해양관광개발공사,화장실,정보없음,아바타포,전시실,안내소,정보없음,100,역사
거제해금강,관광지,,34.73266258,128.683858,055-639-3404,경상남도 거제시청,없음,정보없음,정보없음,정보없음,정보없음,정보없음,0,기타
외도,관광지,경상남도 거제시 일운면 외도길 17,34.76947226,128.7113921,055-681-4541,경상남도 거제시청,화장실,정보없음,정보없음,전시실,안내소,정보없음,0,기타
공곶이,관광지,,34.79451496,128.713906,055-639-4183,경상남도 거제시청,없음,정보없음,정보없음,정보없음,정보없음,정보없음,50,기타
김영삼전대통령생가기록전시관,관광지,경상남도 거제시 장목면 옥포대첩로 743,34.931413,128.715439,055-639-8290,경상남도 거제시 거제해양관광개발공사,화장실,정보없음,정보없음,정보없음,안내소,정보없음,15,역사
웰리힐리파크 관광단지,관광단지,강원특별자치도 횡성군 둔내면 고원로 451,37.49012611,128.2501389,1544-8833,신안종합리조트,스키장+콘도+골프장,콘도,유원시설+공연장,정보없음,정보없음,정보없음,500,테마파크/놀이공원
사계고택,관광지,충청남도 계룡시 두마면 사계로 122-4,36.265691,127.2719783,042-840-2412,충청남도 계룡시,관리사무소+화장실(1동)+주차장,정보없음,정보없음,정보없음,정보없음,정보없음,10,역사
모원재,관광지,충청남도 계룡시 두마면 왕대2길6-10,36.254886,127.2732753,042-840-2412,충청남도 계룡시,화장실(1동)+주차장,정보없음,정보없음,정보없음,정보없음,정보없음,35,기타
염선재,관광지,충청남도 계룡시 사계로 5-16(금암동),36.2693923,127.261851,042-840-2412,충청남도 계룡시,주차장,정보없음,정보없음,정보없음,정보없음,정보없음,2,기타
이심원충신정려현판,관광지,충청남도 계룡시 금암1 길 7(금암동),36.280034,127.2470773,042-840-2412,충청남도 계룡시,주차장,정보없음,정보없음,정보없음,정보없음,정보없음,2,기타
신원재,관광지,충청남도 계룡시 두마면 왕대2길43,36.255245,127.2705257,042-840-2412,충청남도 계룡시,주차장,정보없음,정보없음,정보없음,정보없음,정보없음,5,기타
미당서정주의 집,관광지,서울특별시 관악구 남부순환로 256 나길 4,37.4734032,126.973367,02-879-5605,서울특별시 관악구청,화장실,정보없음,정보없음,정보없음,정보없음,정보없음,0,기타
강감찬전시관,관광지,서울특별시 관악구 낙성대로 77 낙성대공원내,37.47197208,126.959371,02-879-5605,서울특별시 관악구청,없음(공원화장실 이용),정보없음,정보없음,정보없음,정보없음,정보없음,0,기타
무이예술관,관광지,강원특별자치도 평창군 봉평면 사리평길 233,37.61527594,128.348787,033-330-2742,강원특별자치도 평창군청,화장실,정보없음,문화예술체험장,조각공원(야외전시장)+예술전시장(실내),정보없음,정보없음,5,문화
백룡동굴,관광지,강원특별자치도 평창군 미탄면 문희길 63,37.27786356,128.577051,033-330-2742,강원특별자치도 평창군청,화장실+세면장,정보없음,정보없음,정보없음,정보없음,정보없음,40,자연
이효석문화예술촌,관광지,강원특별자치도 평창군 봉평면 효석문학길 73-25,37.61317426,128.3701239,033-330-2742,강원특별자치도 평창군청,화장실,정보없음,정보없음,이효석문학관(기념관+자료 전시실)+효석달빛언덕+이효석생가 복원동+문학의 숲(야외),카페+야외쉼터,정보없음,250,문화
평창돌문화체험관,관광지,강원특별자치도 평창군 평창읍 바위공원길 111,37.376584,128.409516,033-330-2742,강원특별자치도 평창군청,주차장+화장실,정보없음,전시관,바위공원(야외전시장)+수석 전시관(실내),카페,정보없음,15,체험
마하생태관광지,관광지,강원특별자치도 평창군 미탄면 마하길 42-5,37.29236873,128.5412837,033-330-2742,강원특별자치도 평창군청,주차장,생태체험민박,정보없음,생태주택관+명상의정원+여울광장+자연학습장+담소원+산속학습장+광장6야영장,휴게음식점,정보없음,199,자연
용평관광단지,관광단지,강원특별자치도 평창군 대관령면 올림픽로 715,37.65094444,128.7055569,033-330-2742,강원특별자치도 평창군청,주차장+화장실,콘도+호텔,스키장+골프장,정보없음,상가+음식점+카페 등,정보없음,2837,기타
알펜시아관광단지,관광단지,강원특별자치도 평창군 대관령면 솔봉로 325,37.65925417,128.6840107,033-330-2742,강원특별자치도 평창군청,주차장+화장실,콘도+호텔,스키장+골프장,"생태학습원+뮤직텐트,콘서트홀+강원학생체육훈련장+채플+아름드리원+늘푸른원+야생화원+숲마루원",상가+명품아울렛+초콜릿전시관,정보없음,2800,기타
휘닉스파크관광단지,관광단지,강원특별자치도 평창군 봉평면 태기로 174,37.57587246,128.3160325,033-330-2742,강원특별자치도 평창군청,주차장+화장실,콘도+호텔,스키장+골프장,유스호스텔+극장+워터파크+컨벤션센터,상가(센타프라자),정보없음,2800,테마파크/놀이공원
장성호관광지,관광지,전라남도 장성군 북하면 백양로 591-4,35.41373254,126.8508186,061-392-7248,전라남도 장성군청,관리사무소+화장실+주차장,임권택시네마테크캠프동,정보없음,문화예술공원+수몰문화관+야외공연장,매점,정보없음,200,기타
홍길동테마파크,관광지,전라남도 장성군 황룡면 홍길동로 431,35.31862071,126.7265578,061-390-7567,전라남도 장성군청,관리사무소+화장실+주차장,청백한옥,풋살경기장+국궁장+홍길동산채체험관,야영장,4D영상관+홍길동전시관,정보없음,200,테마파크/놀이공원
주왕산 관광지,관광지,경상북도 청송군 주왕산면 주왕산로 494,36.37813214,129.108598,054-870-6239,경상북도 청송군청,관리사무소+주차장+진입광장+도로+배수지+오수처리장,콘도미니엄,정보없음,허브가든+도예촌+전망휴게소+유교문화체험관+민예촌+박물관,정보없음,정보없음,708,자연
송도해상케이블카,관광지,부산광역시 서구 송도해변로 171,35.07664334,129.0233986,051-240-4701,부산광역시 서구청,화장실+주차장,정보없음,케이블카 캐빈 39기,레스토랑+전망대 등,송도해상케이블카 안내데스크(상부+하부 2곳),정보없음,892,기타
작괘천,관광지,,35.55162452,129.0953395,052-204-2346,울산광역시 울주군청,샤워실+급수대+화장실,펜션+야영장,캠핑장+산책로,작천정+캠핑장,정보없음,정보없음,2000,기타
대운산 내원암 계곡,관광지,울산광역시 울주군 온양읍 대운상대길 382,35.39913422,129.2309807,052-204-2345,울산광역시 울주군청,화장실+주차장,정보없음,정보없음,산책로+사찰,정보없음,정보없음,500,자연
간절곶 공원,관광지,울산광역시 울주군 서생면 간절곶해안길 205,35.3625312,129.3591079,052-204-1754,울산광역시 울주군청,주차장+화장실,펜션,산책로+카페,카페+소망우체통,정보없음,정보없음,580,산책/휴식
온달관광지,관광지,충청북도 단양군 영춘면 온달로 23,37.06295564,128.4929221,043-423-8820,단양관광공사,화장실+주차장,정보없음,드라마세트장+온달동굴,온달전시관,정보없음,정보없음,265,기타
천동관광지,관광지,충청북도 단양군 단양읍 다리안로 520,36.97401141,128.4165952,043-423-3589,단양관광공사,화장실+주차장,야영장,물놀이장+천동동굴,정보없음,정보없음,정보없음,80,기타
다리안관광지,관광지,충청북도 단양군 단양읍 소백산등산길 12,36.9647819,128.4207808,043-423-1243,단양관광공사,화장실+주차장,돔하우스+통나무집+캠핑장,원두막+야영장+돔하우스+캠핑장,정보없음,정보없음,정보없음,155,기타
고양관광정보센터,관광지,경기도 고양시 일산동구 중앙로1271-1,37.65948674,126.7726989,031-905-8396,경기도 고양시청 관광과,핸드폰충전 +컴퓨터 검색 + 우산대여서비스 + 휠체어대여 서비스 + 유모차대여서비스 + 휴계공간 + 공용화장실 + 정수기 +,정보없음,버스킹존 + 민속놀이 체험존,고양시 관광지 자료배포+행사 안내,영상관25명 + 관광회의실 12명 + 북쉼터 15명 + 루프탑 30명 + 공유오피스 40명,영상관+회의실+북쉼터+영상창작실+루프탑+관광기념품판매점 + 카페,0,기타
행주산성,관광지,경기도 고양시 덕양구 행주로 15번길 89,37.59610775,126.8287118,031-8075-4642,경기도 고양시청 관광과,휠체어대여 서비스+ 유모차대여서비스 + 교통약자 차량 지원+ 공중화장실 +,정보없음,민속놀이 체험존,행주산성 문화재 관광 안내+행사 안내,대첩기념관 20여명 + 충의정 20여명,영상교육관 + 대첩기념관,230,자연
나들라온,관광지,경기도 고양시 일산동구 장대들길 747,37.64063549,126.7560031,031-8075-4642,경기도 고양시청 관광과,식수대 + 화장실 + 휴계공간,정보없음,병영체험실,고양시 관광지 자료배포+행사 안내,병영체험실50명 + 회의실 100명,병영체험실 + 회의실,3,기타
팔공산 하늘정원,관광지,,36.023813,128.696761,054-380-7943,대구광역시 군위군청,정자+탐방로,정보없음,정자+탐방로,정자+탐방로,정보없음,정보없음,10,자연
김수환 추기경 사랑과 나눔 공원,관광지,대구광역시 군위군 군위읍 군위금성로 270,36.232449,128.599613,054-380-6866,대구광역시 군위군청,공원,정보없음,정보없음,기념관+경당+추기경생가+십자가의 길+평화의 숲+추모정원+중앙광장+잔디광장+옹기가마,정보없음,정보없음,20,산책/휴식
사라온 이야기 마을,관광지,대구광역시 군위군 군위읍 동서길 49,36.236155,128.567733,054-380-7216,대구광역시 군위군청,관리사무소+주차장,정보없음,정보없음,야외쉼터+환희문(정문)+적라촌+적라청+적라골,매표소,정보없음,70,전통
장도청해진유적지,관광지,,34.36012506,126.7369503,061-550-6945,전라남도 완도군청 시설관리사업소,화장실+주차장+관광안내소,정보없음,정보없음,정보없음,정보없음,정보없음,100,역사
장보고기념관,관광지,전라남도 완도군 완도읍 청해진로 1455,34.355097,126.730164,061-550-6945,전라남도 완도군청 시설관리사업소,화장실+주차장+관광안내소,정보없음,정보없음,정보없음,정보없음,정보없음,100,문화
해양생태전시관,관광지,전라남도 완도군 완도읍 청해진로 1459,34.351532,126.731489,061-550-6944,전라남도 완도군청 시설관리사업소,화장실+주차장+관광안내소,정보없음,정보없음,정보없음,정보없음,정보없음,100,자연
완도수목원,관광지,전라남도 완도군 군외면 초평1길 156,34.36065258,126.6635321,061-552-1544,전라남도 산림연구원,화장실+주차장+관광안내소,정보없음,정보없음,정보없음,정보없음,정보없음,100,플라워/가드닝
청해포구촬영장,관광지,전라남도 완도군 완도읍 청해진서로 1161-8,34.32293555,126.6705189,061-555-4500,전라남도 완도청해포구촬영장,화장실+주차장+관광안내소,정보없음,정보없음,정보없음,정보없음,정보없음,100,기타
어촌민속전시관,관광지,전라남도 완도군 완도읍 화흥포길 149,34.307331,126.688559,061-550-6910,전라남도 완도군청 시설관리사업소,화장실+주차장+관광안내소,정보없음,정보없음,정보없음,정보없음,정보없음,100,기타
슬로시티청산도,관광지,전라남도 완도군 청산면 청산로 132,34.17179242,126.8621742,061-550-6490,전라남도 청산면사무소,화장실+주차장+관광안내소,정보없음,정보없음,정보없음,정보없음,정보없음,100,자연
보길윤선도원림,관광지,전라남도 완도군 보길면 부황길 57,34.16247899,126.5559442,061-550-6637,전라남도 완도군청 문화예술과,화장실+주차장+관광안내소,정보없음,정보없음,정보없음,정보없음,정보없음,100,기타
모악산도립공원,관광지,전라북도 완주군 구이면 모악산길 91,35.72946608,127.1098589,063-290-2753,전라북도 완주군청,관리사무소+공영주차장,관광호텔,정보없음,관리사무소+공영주차장,관리사무소+공영주차장,정보없음,300,자연
고산자연휴양림,관광지,전라북도 완주군 고산면 고산휴양림로 246,35.96224205,127.2328719,063-290-2766,전라북도 완주군청,물놀이장+물썰매장+임간수련장+숲속의집+야영장+삼림욕장+등산로,산림휴양시설+자동차야영장,정보없음,물놀이장+물썰매장+임간수련장+숲속의집+야영장+삼림욕장+등산로,물놀이장+물썰매장+임간수련장+숲속의집+야영장+삼림욕장+등산로,정보없음,200,자연
상관 공기마을 편백숲,관광지,전라북도 완주군 상관면 죽림편백길 191-24,35.737491,127.2023884,063-290-2624,전라북도 완주군청,공영주차장+공중화장실+관광안내소,콘도+리조트,정보없음,공영주차장+공중화장실+관광안내소,공영주차장+공중화장실+관광안내소,정보없음,100,전통
대아수목원&대아호,관광지,전라북도 완주군 동상면 대아수목로 94-34,35.97623865,127.3003851,063-280-4590,전라북도,수목원+천연림+건축시설+교육시설,관광숙박,정보없음,수목원+천연림+건축시설+교육시설,수목원+천연림+건축시설+교육시설,정보없음,145,플라워/가드닝
비비정,관광지,전라북도 완주군 삼례읍 비비정길 96-9,35.90154901,127.071693,063-211-7788,비비정,주차장,정보없음,정보없음,주차장,주차장,정보없음,20,기타
설산,관광지,,35.29950593,127.1025224,061-360-8780,전라남도 곡성군청 산림과,주차장,정보없음,정보없음,정보없음,정보없음,정보없음,34,자연
통명산,관광지,,35.20404024,127.2592454,061-360-8780,전라남도 곡성군청 산림과,주차장,정보없음,정보없음,정보없음,정보없음,정보없음,10,자연
조태일시문학기념관,관광지,전라남도 곡성군 죽곡면 태안로 622-38,35.13351552,127.3685909,061-362-5868,전라남도 곡성군청 문화체육과,주차장,정보없음,정보없음,정보없음,정보없음,정보없음,9,문화
섬진강문화학교 독도사진전시관,관광지,전라남도 곡성군 죽곡면 태안로 793,35.14820762,127.3603367,061-362-0313,전라남도 곡성군청 관광과,주차장,정보없음,정보없음,정보없음,정보없음,정보없음,10,체험
시사교육박물관 김갑진 갤러리,관광지,전라남도 곡성군 목사동면 대곡당산길 1,35.11000012,127.262542,061-362-9004,전라남도 곡성군청 문화체육과,주차장+무선 인터넷+화장실,정보없음,정보없음,정보없음,정보없음,정보없음,20,문화
화진포 생태박물관,관광지,강원특별자치도 고성군 거진읍 화진포길 256,38.47218738,128.4436214,033-680-3361,강원특별자치도 고성군청,화장실+주차장,정보없음,정보없음,정보없음,정보없음,정보없음,20,문화
송지호 관망타워,관광지,강원특별자치도 고성군 죽왕면 동해대로 6021,38.33623615,128.5175989,033-680-3361,강원특별자치도 고성군청,화장실+주차장,정보없음,정보없음,정보없음,정보없음,정보없음,50,야경/전망대
어답산관광지,관광지,강원특별자치도 횡성군 갑천면 어답산로 516,37.59380861,128.0575207,033-340-5985,강원특별자치도 횡성군,캠핑장+계곡,민박+펜션,족구장,정보없음,정보없음,정보없음,400,자연
유현문화관광지,관광지,강원특별자치도 횡성군 서원면 경강로유현1길 30,37.52903211,127.8186829,033-340-5987,강원특별자치도 횡성군,성당+유물전시관,정보없음,정보없음,정보없음,정보없음,정보없음,60,기타
도장포어촌체험마을,관광지,경상남도 거제시 남부면 도장포1길 76,34.743449,128.662475,055-638-2202,경상남도 거제시청,화장실+ 샤워장+ 취사장,해상콘도,정보없음,정보없음,정보없음,정보없음,78,전통
쌍근어촌체험마을,관광지,경상남도 거제시 남부면 남부해안로 1094,34.762399,128.589438,055-635-6238,경상남도 거제시청,화장실+ 샤워장+ 취사장,해상콘도,정보없음,정보없음,정보없음,정보없음,30,전통
씨라인,관광지,경상남도 거제시 덕포5길 32-3,34.91111602,128.7102346,055-688-2351,씨라인,화장실,정보없음,짚라인,정보없음,정보없음,정보없음,50,기타
오션어드벤처,관광지,경상남도 거제시 일운면 거제대로 2660,34.843791,128.702943,1588-4888,오션베이,화장실+ 샤워장,콘도,정보없음,정보없음,안내소,정보없음,30,기타
옥포대첩기념공원,관광지,경상남도 거제시 팔랑포2길 87,34.902196,128.714059,055-639-8129,경상남도 거제시 거제해양관광개발공사,화장실,정보없음,정보없음,정보없음,안내소,정보없음,50,산책/휴식
조선해양문화관,관광지,경상남도 거제시 일운면 지세포해안로 41,34.833694,128.701885,055-639-8270,조선해양문화관,화장실,정보없음,정보없음,전시실,안내소,정보없음,30,기타
지심도,관광지,경상남도 거제시 일운면 지심도길 56-12,34.81531906,128.6750514,055-639-4193,경상남도 거제시청,화장실,민박(펜션),정보없음,정보없음,정보없음,정보없음,20,기타
